individual,location,basin,PC1,PC2,PC3,PC4,PC5
pow_lgc_w_2,pow_lgc,BighornWY,0.28488,-0.181801,-0.225403,0.168451,0.023363
pow_lgc_w_1,pow_lgc,BighornWY,0.266679,-0.179324,-0.216453,0.148434,0.015932
che_lak_w_16,che_lak,BighornWY,-0.057302,-0.285111,-0.312005,-0.212431,-0.005529
che_lak_w_15,che_lak,BighornWY,-0.090856,-0.31703,-0.351722,-0.250014,-0.018153
che_lak_w_14,che_lak,BighornWY,-0.111312,-0.309349,-0.364191,-0.249663,-0.012525
che_lak_w_9,che_lak,BighornWY,-0.174814,-0.318269,-0.198212,-0.117032,-0.01375
che_lak_w_8,che_lak,BighornWY,-0.084378,-0.314983,-0.352727,-0.241859,-0.01761
che_lak_w_7,che_lak,BighornWY,-0.091667,-0.306219,-0.336341,-0.225505,-0.008935
che_lak_w_5,che_lak,BighornWY,-0.063739,-0.306235,-0.3318,-0.234652,-0.007823
cr_cl_w_117,cr_cl,Upper Colorado River Basin,-1.023855,0.013415,0.017006,-0.000191,0.048065
cr_cl_w_126,cr_cl,Upper Colorado River Basin,-1.04404,0.018269,0.022848,-0.002535,0.056065
cr_cl_w_130,cr_cl,Upper Colorado River Basin,-1.090163,0.00174,0.018152,2.00E-04,0.0728
cr_cl_w_131,cr_cl,Upper Colorado River Basin,-1.089231,0.008821,0.016615,-0.001419,0.064806
cr_cl_w_57,cr_cl,Upper Colorado River Basin,-1.077863,0.016007,0.022586,-0.003531,0.070028
cr_cl_w_65,cr_cl,Upper Colorado River Basin,-1.072424,0.015751,0.023236,-0.003846,0.062918
cr_cl_w_66,cr_cl,Upper Colorado River Basin,-1.079669,0.014719,0.015828,-0.007276,0.070356
cr_cl_w_85,cr_cl,Upper Colorado River Basin,-1.03431,0.027731,0.012691,-0.006774,0.04984
cr_cl_w_89,cr_cl,Upper Colorado River Basin,-1.08084,0.019286,0.022184,-0.005238,0.06206
cr_gj_w_133,cr_gj,Upper Colorado River Basin,-1.04804,-0.019671,0.02741,-0.007623,0.063822
cr_gj_w_142,cr_gj,Upper Colorado River Basin,-1.045801,0.006355,0.017171,-0.006646,0.065708
cr_gj_w_153,cr_gj,Upper Colorado River Basin,-0.933118,-0.233081,0.118391,0.008521,0.025055
cr_gj_w_154,cr_gj,Upper Colorado River Basin,-1.128478,0.001423,0.024337,-0.006663,0.096258
cr_gj_w_155,cr_gj,Upper Colorado River Basin,-1.07588,0.010253,0.017854,-0.002895,0.064981
cr_gj_w_164,cr_gj,Upper Colorado River Basin,-1.084681,0.019656,0.01437,-0.005412,0.061954
cr_gj_w_166,cr_gj,Upper Colorado River Basin,-1.076518,0.017386,0.022075,-0.005821,0.063604
cr_gj_w_167,cr_gj,Upper Colorado River Basin,-1.117327,0.012616,0.023256,-0.013458,0.081758
cr_gj_w_35,cr_gj,Upper Colorado River Basin,-0.964176,-0.09279,0.059077,6.00E-05,0.041789
cr_gj_w_36,cr_gj,Upper Colorado River Basin,-1.108633,0.007561,0.012658,-0.011938,0.065138
cr_gj_w_38,cr_gj,Upper Colorado River Basin,-1.035764,-0.046557,0.051408,-0.000839,0.058186
cr_gj_w_39,cr_gj,Upper Colorado River Basin,-1.112361,0.003604,0.023161,-0.007132,0.086135
cr_gj_w_41,cr_gj,Upper Colorado River Basin,-1.053197,0.019086,0.013198,-0.00661,0.048013
cr_gj_w_44,cr_gj,Upper Colorado River Basin,-1.05977,-0.001263,0.023655,-0.002494,0.063063
cr_gj_w_49,cr_gj,Upper Colorado River Basin,-1.055612,0.011127,0.010796,-0.004191,0.051992
cr_gj_w_52,cr_gj,Upper Colorado River Basin,-1.139395,0.006163,0.01852,-0.00028,0.09584
gun_ec_w_125,gun_ec,Upper Colorado River Basin,-0.93888,-0.217763,0.111389,-0.001724,0.020334
gun_ec_w_96,gun_ec,Upper Colorado River Basin,-0.909796,-0.328312,0.154714,0.000941,-0.008248
pow_lgc_w_18,pow_lgc,Powder,0.272092,-0.187205,-0.203674,0.150954,0.010159
pow_lgc_w_17,pow_lgc,Powder,0.275784,-0.190275,-0.220225,0.160993,-0.001017
pow_lgc_w_12,pow_lgc,Powder,0.242859,-0.185505,-0.216066,0.165489,0.016132
pow_lgc_w_11,pow_lgc,Powder,0.272592,-0.195302,-0.2125,0.151752,0.011084
pow_lgc_w_10,pow_lgc,Powder,0.249609,-0.178023,-0.210661,0.15372,0.002532
pow_lgc_w_9,pow_lgc,Powder,0.299604,-0.189415,-0.210697,0.170361,0.013045
pow_lgc_w_8,pow_lgc,Powder,0.280258,-0.190985,-0.214842,0.156939,0.015577
pow_lgc_w_7,pow_lgc,Powder,0.245363,-0.185079,-0.204704,0.153245,0.016676
pow_lgc_w_6,pow_lgc,Powder,0.269943,-0.178239,-0.201571,0.149443,0.012188
pow_lgc_w_5,pow_lgc,Powder,0.308864,-0.180544,-0.223374,0.158028,0.014729
pow_lgc_w_21,pow_lgc,Powder,0.257363,-0.183529,-0.219322,0.148,0.001739
pow_lgc_w_20,pow_lgc,Powder,0.261499,-0.179235,-0.215335,0.160932,0.011411
pow_lgc_w_19,pow_lgc,Powder,0.315532,-0.185487,-0.212516,0.159137,0.016319
flp_hm_fu_16,flp_hm,Upper Colorado River Basin,0.776078,0.031672,0.022646,-0.005393,0.003333
flp_hm_fu_17,flp_hm,Upper Colorado River Basin,0.632903,0.030568,0.021221,-0.009055,0.002521
flp_hm_fu_20,flp_hm,Upper Colorado River Basin,0.641297,0.028205,0.028635,-0.004052,0.003536
flp_hm_fu_21,flp_hm,Upper Colorado River Basin,0.832287,0.044841,0.017981,-0.007645,-0.005039
